name,tech_score,confidence,city,region,country,address,lat,lng,website,phone,careers_url,careers_provider,careers_api_url,careers_confidence,careers_last_checked,careers_notes,categories,sources,source_ids,notes
Xora Software Systems Pvt Ltd,100.0,high,Bengaluru,Karnataka,India,"72, Intermediate Ring Road, 560071",12.9575682,77.6416592,,,,,,,,,office=it,openstreetmap,"{""openstreetmap"": ""node:1902205307""}","matched: software, technology, systems, office=it"
Quadkast Technologies,100.0,high,Chennai,Tamil Nadu,India,"Plot 12C, 1, 3rd Cross St, South Phase, Guindy Industrial Estate, Guindy, Chennai, Tamil Nadu 600032",13.0160677,80.2003626,http://quadkast.com/,,https://www.quadkast.com/careers,company_website,https://www.quadkast.com/_next/static/chunks/app/careers/page-0165fe271a2b5e08.js,medium,2026-06-12T19:01:30+00:00,careers page found on company website,office=it | description=Software Company,openstreetmap,"{""openstreetmap"": ""node:7162410756""}","matched: software, technologies, office=it"
WePop Info Solutions,100.0,high,Chennai,Tamil Nadu,India,"plot No 11, Balamurugan Garden Street, thoraipakkam,chennai., 600097",12.9445206,80.2397508,,,,,,,,,"building=yes | description=Wepop Info Solution is leading Mobile App Development Company in Chennai, We are Indian based Software Development for Mobile App Development, Augmented Reality, Virtual Reality, Digital Marketing, SEO, SMO, SMM, SEM, ASO, Web Design and Development.",openstreetmap,"{""openstreetmap"": ""way:354854200""}","matched: software, app development, mobile app, solutions, digital"
Proponent Technologies Private Limited,100.0,high,Dehradun,Uttarakhand,India,,30.2908822,78.0508691,https://proponenttechnologies.com/,,,,,,,,"description=Proponent Technologies Pvt. Ltd. is an offshore software and web development company. We specialize in creating smart user interfaces and offer website and mobile app development, digital marketing, and IT consulting.",openstreetmap,"{""openstreetmap"": ""node:11542645031""}","matched: software, technologies, app development, mobile app, web development, digital"
SPARC PVT LTD,100.0,high,Dehradun,Uttarakhand,India,,30.3616873,78.086204,,,,,,,,,"office=it | description=GIS, Software Development, Business Intelligence, Artificial Intelligence, IoT and Customized GIS based IT Solutions and Services",openstreetmap,"{""openstreetmap"": ""node:6123254070""}","matched: software, artificial intelligence, solutions, office=it"
Absolute Online Web | Website Designers in Hyderabad | Digital Marketing in Hyderabad | SEO Services in Hyderabad,100.0,high,Hyderabad,Telangana,India,"16-2-45/B, Sayeedabad Road Jeevan Yaar Jung Colony, Akbarbagh, New Malakpet, Hyderabad, 500059",17.3647284,78.5063426,https://www.aoplweb.com/,+91 8885411511,,,,none,2026-06-12T18:59:00+00:00,homepage fetch failed: ConnectTimeout; https://www.aoplweb.com/jobs: ConnectTimeout; https://www.aoplweb.com/jobs/: ConnectTimeout; https://www.aoplweb.com/career: ConnectTimeout; no careers page detected,"office=it | description=Absolute Online Web is an innovative web Hosting, web designing and web development company based out of Hyderabad. Absolute Online Web is providing an array of services like web services, digital marketing, search engine optimization, software developmen",openstreetmap,"{""openstreetmap"": ""node:9770198992""}","matched: software, web development, digital, office=it"
A R Infotech,100.0,high,Jaipur,Rajasthan,India,"13/516,, Kaveri Path, Mansarover Sector 1, Jaipur, 302020",26.8755265,75.7562018,https://www.arinfotech.co.in/,+91-9829321136,https://www.arinfotech.co.in/career.html,company_website,https://www.arinfotech.co.in/career.html,medium,2026-06-12T19:00:02+00:00,careers page found on company website,"building=office | description=A R Infotech has been in the market for 15 years, established in 2006, providing fully satisfied information technology solutions and digital marketing services to all customers. We are one of the best and reputed website development and digital marketing",openstreetmap,"{""openstreetmap"": ""way:476530739""}","matched: information technology, technology, infotech, solutions, digital"
System Logic Software Solution Pvt Ltd -Website Design & Web Development Company | Mobile App Development Company in Jaipur,100.0,high,Jaipur,Rajasthan,India,"Plot number 5/73 Bika Lines, Chitrakoot, Vaishali Nagar, Jaipur, 302021",26.8982244,75.7340816,https://maps.app.goo.gl/LQx8Qg1RwnEAT4xF8,,https://jobs.google.com/about/,company_website,https://www.google.com/search?q=jobs+near+me,medium,2026-06-12T19:00:07+00:00,careers page found on company website,"description=System Logic Software Solution Pvt Ltd is a leading IT company in Jaipur, providing complete IT solutions since 2014. We specialize in mobile app development, website development, design, and digital marketing. Our team consists of highly skilled professi",openstreetmap,"{""openstreetmap"": ""node:12582083508""}","matched: software, app development, mobile app, web development, solutions, digital"
Prismberry Technologies - Cloud & Software Company in Noida,100.0,high,Noida,Uttar Pradesh,India,"C-79, C Block, Sector 2, Noida, 201301",28.5833691,77.315307,https://www.prismberry.com/,9999000981,https://prismberry.com/careers,company_website,https://prismberry.com/careers/,medium,2026-06-12T19:00:09+00:00,careers page found on company website,"building=commercial | description=Prismberry Technologies, the best software company in Noida, is your next-generation technology partner. We specialize in software design and development, focusing on AI, Product Engineering, Cloud Technologies, Data Analytics, Mobile Application Developm",openstreetmap,"{""openstreetmap"": ""way:352263710""}","matched: software, technology, technologies, data analytics, cloud"
Bugbattlers Technologies | Android App | iOS App | Mobile App Development,100.0,high,Pune,Maharashtra,India,"2nd floor, Paud Road,Anant Manohar Apartment, Pune, 411038",18.5077618,73.7922724,https://bugbattlers.com/,7972812221,,,,none,2026-06-12T19:00:17+00:00,https://bugbattlers.com/jobs: HTTPError; https://bugbattlers.com/jobs/: HTTPError; https://bugbattlers.com/career: HTTPError; no careers page detected,office=it | building=yes,openstreetmap,"{""openstreetmap"": ""way:360505163""}","matched: technologies, app development, mobile app, office=it"
